site-4937|Sayil|sayil|Late · Terminal Classic|Principal development: about 800–950 CE|A palace across the valley|Grand Palace · El Mirador · Puuc stonework|https://lugares.inah.gob.mx/es/node/4458|Sayil grew in a valley with land suitable for agriculture during the later Classic centuries. Its Grand Palace, also called the North Palace, presents a long, carefully ordered façade built through successive phases. Rows of openings, columns and decorated upper walls make it an important example of Puuc architecture. The wider settlement extended well beyond the palace, tying elite residences to farming land and systems for obtaining water. The source atlas places this record in Campeche; the archaeological site is in modern Yucatán, a distinction retained here without silently altering the original survey fields.
site-3555|Labná|labna|Late · Terminal Classic|Peak: about 800–1000 CE|An arch between architectural worlds|Decorated Arch · Palace · El Mirador|https://lugares.inah.gob.mx/es/node/4427|Labná's freestanding decorated arch is one of the most distinctive surviving monuments of the Puuc region. Its corbelled opening frames passage between architectural spaces, while finely worked ornament covers the upper façade. The nearby Palace and the temple called El Mirador show the same attention to surface and silhouette. Settlement began earlier, but the city's main flowering came around 800–1000 CE. Labná was a medium-sized community, possibly linked to a larger regional capital; the elaborate surviving buildings show that exceptional craftsmanship was not confined to the largest Maya cities.
site-1232|Mayapán|mayapan|Postclassic|Regional capital: about 1220–1440 CE|Life within the city walls|Kukulcan pyramid · Colonnaded halls · City wall|https://en.wikipedia.org/wiki/Mayapan|Mayapán was a major political and cultural centre in the northern Yucatán during the Late Postclassic. Thousands of structures, most of them houses, occupied the densely settled area inside its long perimeter wall, with additional neighbourhoods outside. Its ceremonial centre combines pyramids, shrines, colonnaded halls and round buildings in closely packed spaces. The main pyramid echoes the better-known El Castillo at Chichén Itzá. Mayapán offers a different picture from the forest cities of the Classic period: its archaeology is especially useful for understanding households, craft activity and political life in the centuries before Spanish colonisation.
site-3756|Dzibilchaltún|dzibilchaltun|Preclassic · Classic · Postclassic|Occupation from around 600 BCE|A temple beside the white road|Temple of the Seven Dolls · Xlacah cenote · Sacbe|https://lugares.inah.gob.mx/es/node/4400|Dzibilchaltún developed around an accessible water source, the Xlacah cenote, north of modern Mérida. Its surviving plazas and paved causeways connect structures from different phases of a long occupation. The Temple of the Seven Dolls takes its modern name from small ceramic figures found during excavation; its opposing doorways create the celebrated sunrise view. Elsewhere, carved stelae, long public buildings and an open colonial chapel reveal changes in the use of the same landscape. The cenote and roads are as important to understanding this settlement as its compact, distinctive temple.
site-4769|Izamal|izamal|Preclassic · Classic · Postclassic|Major building phases before 800 CE|Ancient pyramids within a living town|Kinich Kak Moo · Megalithic masonry · Causeways|https://lugares.inah.gob.mx/es/node/4422|Izamal's ancient monumental platforms remain embedded in a living town. The enormous Kinich Kak Moo complex is the most conspicuous survivor, but several other structures preserve the scale of the earlier city. Builders here developed a distinctive use of very large stone blocks, broad stairs and rounded or recessed corners. Roads connected Izamal with neighbouring centres, including Aké, reflecting its regional importance. Religious traditions associated the place with Zamná and solar worship. Reading Izamal requires looking across modern streets as well as individual ruins, because the ancient urban landscape was transformed rather than simply abandoned.
site-4955|Aké|ake|Early Classic|Prominent architecture: about 250–550 CE|Columns on a monumental platform|Structure I · Megalithic stairway · Izamal causeway|https://en.wikipedia.org/wiki/Ake|Aké's best-known monument is a broad raised platform topped by rows of substantial stone columns. Its stairs use unusually large, flat slabs, giving the approach a different rhythm from the narrow steps of many Maya pyramids. This megalithic building tradition links the site with other northern centres, especially Izamal, to which a raised causeway once led. Two enclosing walls define parts of the settlement. The ruins also lie within a later henequen estate, placing the ancient ceremonial buildings alongside evidence of a much more recent phase of land use.
site-5008|Oxkintok|oxkintok|Preclassic · Classic|Early northern centre; later Puuc construction|Passages through an older city|Satunsat labyrinth · Early inscriptions · Puuc groups|https://en.wikipedia.org/wiki/Oxkintok|Oxkintok lies near the northwestern edge of the Puuc hills, where its buildings preserve a long sequence of architectural change. It was among the early important centres of the northern lowlands and has dated inscriptions from the Classic period. The enclosed passages of the Satunsat, often described as a labyrinth, give the site an unusual architectural focus. Other groups show the development of regional Puuc forms. Its hill-country setting and different building phases make Oxkintok particularly valuable for tracing how the monumental traditions of northern Yucatán developed over time.
site-5004|Hochob|hochob|Late Classic|Principal buildings: around 800 CE|A doorway shaped as a living face|Main Palace · Chenes façades · Hilltop plaza|https://en.wikipedia.org/wiki/Hochob|Hochob occupies a hill whose summit was levelled to create a setting for plazas and buildings. Its richly decorated façades are characteristic of the Chenes region: carefully fitted blocks combine into enormous faces, with doorways occupying the open mouths. The Main Palace is the most recognisable example of this sculptural approach to architecture. Although the site's chronology is not precisely defined, its prominent remains are associated with the Late Classic. Hochob's relatively compact hilltop setting allows the relationship between decoration, enclosed rooms and the surrounding plaza to be understood at an intimate scale.
site-1225|Balamkú|balamku|Classic|Stucco frieze: about 550–600 CE|A painted world preserved beneath stone|Modelled stucco frieze · Central Group · Earlier palace|https://lugares.inah.gob.mx/es/node/5395|Balamkú preserves an extraordinary modelled and painted stucco frieze from an earlier palace concealed beneath a later building. The decoration combines figures and supernatural imagery in a composition interpreted as connecting different levels of the Maya cosmos. Its survival owes much to the deliberate filling and covering of the palace during rebuilding. The sculpted surface retains evidence of colour, reminding us that Maya monuments were not originally bare stone. This record appears in the source inventory as Balamku or Chunhabil; the highlighted drawing focuses on the site's surviving frieze rather than an imagined complete reconstruction.
site-1233|Bonampak|bonampak|Late Classic|Murals: late 8th century CE|Court life across three painted rooms|Temple of the Murals · Acropolis · Carved lintels|https://en.wikipedia.org/wiki/Bonampak|Bonampak is best known for the paintings preserved in the three rooms of its Temple of the Murals. Their crowded scenes depict court ceremony, warfare and its aftermath, offering unusually vivid evidence of elite dress, musicians, gestures and political display. The city's history was closely tied to nearby Yaxchilán, a larger power in the Usumacinta region. The temple stands on an acropolis above the main plaza, so its intimate painted interiors form part of a broader public setting. Lacandon Maya knew and visited these ruins before they became widely known to outside researchers.
site-1234|Yaxchilán|yaxchilan|Classic|Dynastic record: 4th–9th centuries CE|Royal histories above the river|Structure 33 · Carved lintels · Great Plaza|https://lugares.inah.gob.mx/es/node/4367|Yaxchilán follows a bend of the Usumacinta River, with plazas and buildings arranged on terraces rising from the riverbank. Its carved lintels, stelae, altars and steps preserve accounts of rulers, warfare and ritual across several centuries. Structure 33, crowned by a monumental roof comb, is its most recognisable building. The site is especially important for the close integration of architectural entrances and narrative sculpture. Later Lacandon visitors continued to hold ceremonies among the ancient temples, leaving evidence that the ruins remained meaningful long after the royal court had disappeared.
site-5153|Toniná|tonina|Classic|Major development during the Classic period|A hillside made into an acropolis|Terraced Acropolis · Stucco frieze · Ballcourts|https://lugares.inah.gob.mx/es/node/4359|Toniná's monumental centre climbs a hillside in successive terraces, joining palaces, temples and courtyards into a great acropolis. Its rulers competed with other Maya powers, and sculptures of captives record the place of warfare in royal display. The complex includes the Palace of the Fireflies, with rooms around courtyards and evidence of water management, as well as elaborate stucco reliefs. Temples occupy the highest levels. Rather than a single isolated pyramid, Toniná presents an interconnected architectural slope, where ascent through different spaces was central to the experience of the city.
site-4951|Comalcalco|comalcalco|Classic|Craft production documented about 600–1000 CE|A Maya city built in brick|Brick temples · Acropolis · Modelled stucco|https://en.wikipedia.org/wiki/Comalcalco_(archaeological_site)|Comalcalco is exceptional among major Maya cities for its extensive use of fired bricks in monumental construction. In the alluvial lowlands of Tabasco, this material offered an alternative to the limestone masonry familiar elsewhere. The ancient settlement, associated with the name Joy Chan, occupied a strategic position in riverine exchange between the Gulf Coast and inland regions. Archaeological finds also identify substantial production of clay figurines, with moulds and workshop debris revealing specialised craft activity. Its temples and stucco decoration connect a distinctive local material tradition with the wider architectural language of the Maya world.
site-4933|Quiriguá|quirigua|Classic|Greatest expansion: 8th century CE|Monuments to a hard-won independence|Tall sandstone stelae · Zoomorphic altars · Acropolis|https://en.wikipedia.org/wiki/Quirigu%C3%A1|Quiriguá stood near important routes through the lower Motagua valley. Its history was closely linked to Copán until the ruler K'ak' Tiliw Chan Yopaat defeated and captured Copán's king in 738 CE. The city's subsequent independence was expressed through an extraordinary programme of carved monuments. Tall sandstone stelae and immense sculpted boulders carry rulers, supernatural forms and hieroglyphic texts in dense compositions. The surrounding architecture is comparatively modest, making the sculpture especially prominent. Quiriguá shows how a relatively small urban centre could use monuments to announce a major change in political standing.
site-5032|Yaxhá|yaxha|Preclassic · Classic|Major development in the Classic period|Between two blue-green lakes|East Acropolis · Temple 216 · Raised causeways|https://en.wikipedia.org/wiki/Yaxha|Yaxhá occupies a ridge between lakes Yaxhá and Sacnab in eastern Petén. Its name, associated with blue-green water, is a rare example of an ancient Maya place-name surviving into modern use. The city developed through a long occupation, with major expansion in the Early Classic and later competition with nearby Naranjo. Hundreds of structures include ceremonial groups joined by raised causeways, as well as carved stelae. The lake setting helps explain both its prominence and its connections: this was a substantial political centre within a landscape of waterways, routes and neighbouring kingdoms.
site-3568|Uaxactún|uaxactun|Preclassic · Classic|Important early ceremonial architecture|Where an architectural pattern got its name|Group E · Mask-decorated platform · Early monuments|https://en.wikipedia.org/wiki/Uaxactun|Uaxactún lies north of Tikal and has played a major role in the study of early Maya architecture. Investigations of its Group E gave the name E-Group to a widespread arrangement of ceremonial buildings often discussed in relation to solar observation. Earlier structures, including a mask-decorated platform, survived beneath later construction. Excavations also helped establish sequences of Maya pottery and building phases. Its modern name was coined by Sylvanus Morley after an early dated inscription. The site's importance therefore lies both in its ancient history and in the development of archaeological understanding of the Maya lowlands.
site-4964|El Mirador|el-mirador|Preclassic|Monumental growth before the Classic period|Cities before the great dynasties|La Danta · Triadic temple groups · Raised causeways|https://en.wikipedia.org/wiki/El_Mirador|El Mirador demonstrates the enormous scale of Maya urban construction centuries before the best-known Classic kingdoms reached their height. Its monumental complexes include La Danta, a vast accumulation of platforms and temples, along with other groups arranged in triadic forms. Raised causeways connected the city with neighbouring settlements in northern Petén. Much of this architecture remains covered by forest, which can conceal the extent of the built landscape. Archaeological investigation showed that the largest construction belonged to the Preclassic, reshaping earlier assumptions about when complex Maya cities and large ceremonial centres developed.
site-0901|Nakbé|nakbe|Preclassic|Early settlement from the 2nd millennium BCE|The beginnings of monumental building|Early platforms · Limestone quarries · Mirador causeway|https://en.wikipedia.org/wiki/Nakbe|Nakbé is an early major settlement in the Mirador Basin, south of El Mirador. Its Preclassic remains are important for understanding the emergence of large-scale Maya masonry construction. Archaeologists have investigated both ceremonial architecture and the limestone quarries that supplied it, including tools used to extract and shape building stone. Ceramic finds help trace the settlement's early development. A causeway links Nakbé with the larger neighbouring city. The combination of early buildings, material production and regional connections makes it a valuable record of how monumental urban landscapes were created long before the Classic period.
site-4942|Piedras Negras|piedras-negras|Preclassic · Classic|Sculptural flowering: Late Classic|History recovered from royal portraits|Carved stelae · Acropolis · Usumacinta riverfront|https://en.wikipedia.org/wiki/Piedras_Negras_(Maya_site)|Piedras Negras was a major kingdom on the eastern bank of the Usumacinta River. Its buildings occupy a series of hills and plazas within a heavily forested landscape. The site is especially significant for finely carved monuments that connect royal portraits with dates and events. These inscriptions helped researchers recognise the historical and dynastic content of Maya writing. The city participated in shifting relationships with other river kingdoms, including Yaxchilán. Its archaeological record combines an imposing architectural setting with unusually detailed evidence for the lives and political ambitions of individual rulers.
site-3353|Dos Pilas|dos-pilas|Late Classic|Founded in 629 CE; abandoned in the 8th century|A dynasty divided against itself|Hieroglyphic stairways · Palace groups · Defensive walls|https://en.wikipedia.org/wiki/Dos_Pilas|Dos Pilas was founded by a branch of Tikal's dynasty, then became aligned with Tikal's great rival Calakmul. Its rulers retained the same emblem associated with Tikal, making the city a vivid example of divided dynastic identity. Hieroglyphic stairways preserve a detailed sequence of conflicts and political events. Dos Pilas and Aguateca eventually served as twin centres of a kingdom in the Petexbatún region. The city's comparatively short history illuminates the pressures of Late Classic warfare, while its surviving monuments allow those wider rivalries to be followed through the actions of particular rulers.
site-4980|Aguateca|aguateca|Late Classic|Royal centre destroyed around 800 CE|A city abandoned in haste|Rock chasm · Palace Group · Elite residences|https://en.wikipedia.org/wiki/Aguateca|Aguateca occupies a limestone bluff above the Petexbatún landscape, with a dramatic chasm and defensive walls shaping access to the city. It shared a ruling dynasty with nearby Dos Pilas. An attack and fire brought a rapid end to occupation in the central area, leaving objects on the floors of elite residences. These unusually informative deposits reveal household activities and the production of crafted goods, as well as courtly life. The Palace Group and Main Plaza were connected by a causeway. Aguateca is especially valuable for the evidence of everyday work preserved alongside the remains of political conflict.
site-4985|Ceibal|ceibal|Preclassic · Classic|Late revival: about 830–890 CE|A new court after regional collapse|Late carved stelae · Pasión River bluffs · Plazas|https://en.wikipedia.org/wiki/Seibal|Ceibal, also written Seibal or El Ceibal, occupies bluffs above the Pasión River. Its history includes an early flourishing, periods of decline and a remarkable revival near the end of the Classic period. After earlier subordination to Dos Pilas, a new elite established itself in the ninth century and commissioned monuments when many neighbouring courts had already ceased to do so. The late stelae combine local traditions with wider artistic influences. This uneven history makes Ceibal especially important for understanding how individual Maya communities responded differently to the political disruptions affecting the southern lowlands.
site-4993|Iximché|iximche|Late Postclassic|Kaqchikel capital: 1470–1524 CE|A highland capital at a turning point|Plazas · Palace foundations · Ballcourts|https://en.wikipedia.org/wiki/Iximche|Iximché was founded as the capital of the Kaqchikel kingdom after a break with the K'iche'. Its ridge-top setting, bordered by ravines, offered natural protection. Temple pyramids, palaces and ballcourts were arranged around a series of plazas associated with the ruling lineages. In the early sixteenth century the Kaqchikel initially allied with Spanish forces, but relations deteriorated as colonial demands grew. The city's short, consequential history links the archaeology of the highlands to written accounts of conquest and resistance. Its relatively low surviving buildings reveal a different urban form from the towering temples of Petén.
site-4995|Zaculeu|zaculeu|Classic · Postclassic|Mam capital; siege in 1525 CE|White temples in the highlands|Temple platforms · Ballcourt · Public plazas|https://en.wikipedia.org/wiki/Zaculeu|Zaculeu was the capital of a Mam kingdom in the western Guatemalan highlands and later came under K'iche' influence. Its plazas bring together temple pyramids, palaces and a ballcourt, with architectural features reflecting these overlapping histories. In 1525 its defenders endured a prolonged Spanish siege before surrendering. The bright, smooth appearance of many buildings today also reflects extensive restoration in the 1940s. That distinction matters when viewing the ruins: the surviving layout preserves an ancient political and ceremonial centre, while the visible surfaces include a substantial modern interpretation of its architecture.
site-0482|Tak'alik Ab'aj|takalik-abaj|Preclassic · Classic|A history spanning about 1,700 years|At a crossroads of early traditions|Stone monuments · Terraces · Water management|https://whc.unesco.org/en/list/1663|Tak'alik Ab'aj lies on Guatemala's Pacific side along a long-distance exchange corridor linking regions from the Isthmus of Tehuantepec toward El Salvador. Its monuments and material culture document interaction between Olmec traditions and the emergence of early Maya culture. Terraces, sacred spaces and water-management works reveal careful planning, while stone sculpture and worked precious materials record skilled production. The site's importance extends beyond a simple boundary between cultures: it shows how ideas and practices circulated through exchange. Indigenous communities continue to regard the place as sacred and to conduct rituals there.
site-1194|Kaminaljuyú|kaminaljuyu|Preclassic · Classic|Principal occupation: about 1500 BCE–1200 CE|An ancient city beneath a modern one|Earthen mounds · Preserved park · Sculpted monuments|https://en.wikipedia.org/wiki/Kaminaljuyu|Kaminaljuyú was a major centre in the Valley of Guatemala, with a long occupation reaching back into the Preclassic. Its buildings were largely constructed from earth and adobe, giving the surviving mounds a very different appearance from lowland limestone temples. Modern Guatemala City has absorbed much of the ancient settlement, and the archaeological park preserves only part of its former extent. Excavations, sculpture and buried structures provide evidence for its connections and changing importance. Understanding Kaminaljuyú requires looking beyond the modest visible remains to the much larger city documented through archaeological investigation.
site-4950|Caracol|caracol|Classic|Major regional power during the Classic period|A city spread across the plateau|Caana · Causeways · Terraced settlement|https://en.wikipedia.org/wiki/Caracol|Caracol developed on the Vaca Plateau in the foothills of the Maya Mountains. Archaeological survey revealed a far larger and more influential city than early assessments had suggested, with settlement extending across a broad managed landscape. Its monumental centre includes Caana, a high architectural complex combining temples and palatial spaces. Roads and agricultural terraces connect the story of the royal centre to that of surrounding households. Caracol was deeply involved in the rivalries of the Classic lowlands, including conflicts with Tikal. Its scale makes the relationship between urban life, food production and regional politics particularly clear.
site-4943|Lamanai|lamanai|Preclassic · Classic · Postclassic|Occupation continued into the colonial era|A long history beside the lagoon|High Temple · Mask Temple · Jaguar Temple|https://en.wikipedia.org/wiki/Lamanai|Lamanai stands beside the New River Lagoon and preserves an exceptionally long sequence of occupation, extending from early Maya settlement into the colonial period. The High Temple, Mask Temple and Jaguar Temple form the best-known monumental groups, but the site's later history is equally significant. Spanish churches and evidence of resistance document encounters that followed the pre-Hispanic centuries. Copper objects and traces of their manufacture illuminate Postclassic exchange and technology. Lamanai therefore offers a history of adaptation and continuity alongside its temple architecture, with the lagoon providing a persistent connection through a changing cultural landscape.
site-4954|Altun Ha|altun-ha|Preclassic · Classic|Largest extent: about 400–900 CE|Temples on the coastal plain|Temple of the Masonry Altars · Plazas · Reservoirs|https://en.wikipedia.org/wiki/Altun_Ha|Altun Ha developed on Belize's coastal plain, inland from the Caribbean. Its main ceremonial precinct is organised around two principal groups, with the Temple of the Masonry Altars forming the most recognisable landmark. Reservoirs and raised paths helped people navigate and obtain water in a landscape that included swampy ground. Excavations by the Royal Ontario Museum documented a long occupation, with the city reaching its greatest extent during the Classic period. The combination of monumental buildings, residential areas and water infrastructure reveals how this community supported urban life close to the coast.
site-4953|Xunantunich|xunantunich|Late · Terminal Classic|Major expansion: 7th–9th centuries CE|El Castillo above the valley|El Castillo · Stucco friezes · Six plazas|https://en.wikipedia.org/wiki/Xunantunich|Xunantunich's monumental centre rises above the Mopan valley in western Belize. El Castillo dominates a sequence of plazas surrounded by temples and palaces, while surviving stucco decoration adds a rich symbolic layer to the building. The settlement expanded substantially in the seventh century as its connections with Naranjo strengthened. Archaeological surveys also document the farming communities that supported the urban centre. Its history includes disruption and renewed growth, illustrating how the fortunes of a smaller kingdom could change within wider political networks. This entry refers to the Belizean site, not the similarly named survey record in Yucatán.
site-4989|Cahal Pech|cahal-pech|Preclassic · Classic|Early habitation by about 1200 BCE|Courtyards above the river valley|Palatial courtyards · Temple pyramid · Early ceramics|https://en.wikipedia.org/wiki/Cahal_Pech|Cahal Pech occupies a hill above San Ignacio near the meeting of the Macal and Mopan river systems. Its compact palatial centre contains courts, vaulted rooms and temples associated with an elite household. Beneath the later architecture, early pottery and occupation deposits extend the site's history back to around 1200 BCE, making it especially important for research on the beginnings of settled life in western Belize. The contrast between the intimate surviving courtyards and this deep occupational sequence is part of its appeal: a relatively small monumental core preserves evidence spanning many centuries.
